title,platform,edition,status,format,region,completeness,condition,release_date,publisher,developer,genre,barcode,purchase_date,purchase_price,store,added_date,notes,clz_index,source
Love Esquire,Nintendo Switch,,owned,,,,,"Feb 23, 2022",Eastasiasoft Limited,Yang Yang Mobile,RPG | Visual Novel,,,,,"Apr 15, 2025",,,clz
LoveKami Trilogy,Nintendo Switch,,owned,,,,,"Jul 12, 2022",EastAsiaSoft,Pulltop,Visual Novel,,,,,"Apr 15, 2025",,,clz
Luigi's Mansion 2 HD,Nintendo Switch,,owned,,,,,"Jun 27, 2024",Nintendo,Next Level Games,Action | Adventure,,,,,"Apr 15, 2025",,,clz
Luigi's Mansion 3,Nintendo Switch,,owned,,,,,"Oct 31, 2019",Nintendo,Nintendo,Action/Adventure | Platformer,,,,,"Apr 15, 2025",,,clz
Lunar Remastered Collection,Nintendo Switch,,owned,,,,,"Apr 18, 2025",Clear River Games,GungHo Online Entertainment,RPG,,,,,"Apr 17, 2025",,,clz
Macross: Shooting Insight,Nintendo Switch,,owned,,,,,,,,,,,,,"Jul 09, 2025",,,clz
Maglam Lord,Nintendo Switch,,owned,,,,,"Feb 04, 2022",PQube,Felistella,RPG,,,,,"Apr 15, 2025",,,clz
Maid Cafe at Electric Street,Nintendo Switch,,owned,,,,,"Feb 26, 2026",PLAYISM,,Adventure,,,,,"Mar 14, 2026",,,clz
Maid of the Dead,Nintendo Switch,,owned,,,,,"Aug 22, 2024",,qureate,Shooter,,,,,"Aug 21, 2026",,,clz
Mamorukun ReCurse!,Nintendo Switch,,owned,,,,,"Sep 25, 2025",Clear River Games,,Action,,,,,"Oct 08, 2025",,,clz
Mario & Luigi: Brothership,Nintendo Switch,,owned,,,,,"Nov 07, 2024",Nintendo,Nintendo,Action | Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Mario & Sonic at the Olympic Games: Tokyo 2020,Nintendo Switch,,owned,,,,,"Nov 05, 2019",Sega,Sega,Sports,,,,,"Apr 15, 2025",,,clz
Mario Golf: Super Rush,Nintendo Switch,,owned,,,,,"Jun 25, 2021",Nintendo,Camelot,Golf | Sport,,,,,"Apr 15, 2025",,,clz
Mario Party Superstars,Nintendo Switch,,owned,,,,,"Oct 29, 2021",Nintendo,Nintendo,Party,,,,,"Apr 15, 2025",,,clz
Mario + Rabbids: Kingdom Battle,Nintendo Switch,,owned,,,,,"Aug 29, 2017",Ubisoft,Ubisoft,Strategy,,,,,"Apr 15, 2025",,,clz
Mario + Rabbids: Spark of Hope,Nintendo Switch,,owned,,,,,"Oct 20, 2022",Ubisoft,Ubisoft,Action/Adventure | Strategy,,,,,"Apr 15, 2025",,,clz
Mario Strikers: Battle League,Nintendo Switch,,owned,,,,,"Jun 10, 2022",Nintendo,Nintendo,Sport,,,,,"Apr 15, 2025",,,clz
Mario vs. Donkey Kong,Nintendo Switch,,owned,,,,,"Feb 16, 2024",Nintendo,Nintendo,Puzzle,,,,,"Apr 15, 2025",,,clz
Mary Skelter 2,Nintendo Switch,,owned,,,,,"Oct 23, 2019",Idea Factory,Compile Heart,RPG,,,,,"Apr 15, 2025",,,clz
